iter	Passed	Remaining
419	2351	3247
420	2353	3237
421	2356	3226
422	2357	3215
423	2359	3204
424	2364	3198
425	2368	3191
426	2370	3181
427	2376	3175
428	2378	3165
429	2381	3157
430	2384	3147
431	2387	3139
432	2390	3129
433	2391	3119
434	2397	3113
435	2405	3111
436	2407	3102
437	2417	3101
438	2420	3093
439	2422	3083
440	2425	3073
441	2437	3077
442	2440	3068
443	2445	3062
444	2448	3053
445	2457	3052
446	2466	3050
447	2468	3041
448	2479	3042
449	2482	3034
450	2488	3029
451	2491	3021
452	2494	3012
453	2497	3003
454	2501	2996
455	2512	2996
456	2516	2989
457	2543	3010
458	2562	3019
459	2570	3017
460	2572	3008
461	2574	2998
462	2577	2989
463	2584	2985
464	2587	2977
465	2590	2968
466	2591	2958
467	2596	2951
468	2598	2941
469	2639	2977
470	2656	2983
471	2661	2977
472	2664	2969
473	2666	2959
474	2667	2948
475	2671	2940
476	2674	2932
477	2675	2922
478	2679	2913
479	2682	2905
480	2690	2902
481	2699	2901
482	2705	2896
483	2718	2898
484	2720	2889
485	2730	2888
486	2733	2879
487	2735	2869
488	2737	2861
489	2743	2855
490	2748	2849
491	2756	2846
492	2759	2838
493	2762	2829
494	2778	2834
495	2780	2824
496	2784	2818
497	2793	2816
498	2797	2808
499	2801	2801
500	2807	2796
501	2818	2795
502	2820	2786
503	2823	2778
504	2830	2774
505	2833	2765
506	2834	2756
507	2839	2750
508	2842	2742
509	2845	2733
510	2847	2724
511	2849	2715
512	2852	2708
513	2857	2702
514	2860	2693
515	2862	2685
516	2890	2700
517	2895	2694
518	2903	2691
519	2907	2683
520	2910	2676
521	2918	2672
522	2920	2663
523	2922	2655
524	2925	2647
525	2934	2644
526	2938	2637
527	2941	2629
528	2957	2632
529	3033	2689
530	3037	2682
531	3043	2677
532	3050	2672
533	3058	2668
534	3063	2662
535	3066	2654
536	3077	2653
537	3081	2646
538	3084	2637
539	3087	2630
540	3090	2621
541	3096	2616
542	3099	2608
543	3102	2600
544	3112	2598
545	3116	2591
546	3124	2587
547	3128	2580
548	3131	2572
549	3133	2563
550	3136	2556
551	3140	2548
552	3142	2540
553	3144	2531
554	3155	2530
555	3158	2522
556	3160	2513
557	3165	2507
558	3167	2498
559	3169	2490
560	3171	2481
561	3181	2479
562	3183	2470
563	3186	2463
564	3187	2454
565	3196	2450
566	3200	2443
567	3205	2438
568	3211	2432
569	3214	2424
570	3215	2416
571	3224	2412
572	3226	2404
573	3228	2396
574	3229	2387
575	3236	2382
576	3237	2373
577	3239	2364
578	3240	2356
579	3242	2347
580	3243	2339
581	3244	2330
582	3246	2322
583	3248	2313
584	3249	2305
585	3251	2296
586	3252	2288
587	3254	2280
588	3256	2272
589	3258	2264
590	3261	2256
591	3263	2249
592	3266	2241
593	3269	2234
594	3271	2227
595	3274	2219
596	3276	2211
597	3284	2207
598	3285	2199
599	3287	2191
600	3289	2183
601	3290	2175
602	3295	2169
603	3297	2161
604	3298	2153
605	3300	2145
606	3301	2137
607	3305	2130
608	3310	2125
609	3312	2118
610	3314	2110
611	3316	2102
612	3319	2095
613	3333	2095
614	3336	2088
615	3344	2085
616	3346	2077
617	3349	2070
618	3351	2062
619	3354	2056
620	3359	2050
621	3361	2042
622	3371	2040
623	3376	2034
624	3379	2027
625	3416	2041
626	3425	2037
627	3433	2033
628	3440	2029
629	3442	2021
630	3444	2014
631	3455	2012
632	3458	2004
633	3459	1997
634	3472	1996
635	3475	1989
636	3485	1986
637	3488	1979
638	3489	1971
639	3492	1964
640	3497	1958
641	3499	1951
642	3500	1943
643	3502	1936
644	3506	1929
645	3514	1925
646	3516	1918
647	3517	1910
648	3522	1905
649	3524	1898
650	3526	1890
651	3528	1883
652	3533	1877
653	3537	1871
654	3540	1864
655	3543	1858
656	3547	1852
657	3549	1844
658	3550	1837
659	3554	1831
660	3557	1824
661	3559	1817
662	3561	1810
663	3563	1803
664	3564	1795
665	3566	1788
666	3571	1783
667	3573	1776
668	3586	1774
669	3599	1772
670	3601	1765
671	3610	1762
672	3620	1758
673	3624	1753
674	3629	1747
675	3632	1740
676	3635	1734
677	3645	1731
678	3647	1724
679	3649	1717
680	3655	1712
681	3660	1706
682	3662	1700
683	3664	1693
684	3675	1690
685	3678	1683
686	3680	1676
687	3695	1675
688	3717	1677
689	3720	1671
690	3724	1665
691	3729	1660
692	3735	1654
693	3738	1648
694	3739	1641
695	3741	1634
696	3744	1627
697	3746	1621
698	3749	1614
699	3751	1607
700	3753	1601
701	3769	1600
702	3771	1593
703	3773	1586
704	3778	1580
705	3779	1574
706	3784	1568
707	3788	1562
708	3790	1555
709	3792	1549
710	3795	1542
711	3797	1536
712	3799	1529
713	3800	1522
714	3802	1515
715	3810	1511
716	3811	1504
717	3813	1497
718	3815	1491
719	3817	1484
720	3820	1478
721	3823	1472
722	3825	1465
723	3826	1458
724	3828	1452
725	3830	1445
726	3831	1438
727	3836	1433
728	3839	1427
729	3841	1420
730	3843	1414
731	3845	1407
732	3846	1401
733	3851	1395
734	3853	1389
735	3854	1382
736	3856	1376
